fips,incidentType,num_disasters,has_data_center,num_data_centers
01061,Severe Ice Storm,0,0,0
01063,Severe Storm,3,0,0
01063,Fire,0,0,0
01063,Hurricane,2,0,0
01063,Winter Storm,0,0,0
01063,Flood,0,0,0
01063,Tornado,0,0,0
01063,Tropical Storm,0,0,0
01063,Snowstorm,0,0,0
01063,Coastal Storm,0,0,0
01063,Severe Ice Storm,0,0,0
01065,Severe Storm,2,0,0
01065,Fire,0,0,0
01065,Hurricane,3,0,0
01065,Winter Storm,0,0,0
01065,Flood,0,0,0
01065,Tornado,0,0,0
01065,Tropical Storm,0,0,0
01065,Snowstorm,0,0,0
01065,Coastal Storm,0,0,0
01065,Severe Ice Storm,0,0,0
01067,Severe Storm,1,0,0
01067,Fire,0,0,0
01067,Hurricane,2,0,0
01067,Winter Storm,0,0,0
01067,Flood,0,0,0
01067,Tornado,0,0,0
01067,Tropical Storm,0,0,0
01067,Snowstorm,0,0,0
01067,Coastal Storm,0,0,0
01067,Severe Ice Storm,0,0,0
01069,Severe Storm,0,0,0
01069,Fire,0,0,0
01069,Hurricane,3,0,0
01069,Winter Storm,0,0,0
01069,Flood,0,0,0
01069,Tornado,0,0,0
01069,Tropical Storm,0,0,0
01069,Snowstorm,0,0,0
01069,Coastal Storm,0,0,0
01069,Severe Ice Storm,0,0,0
01071,Severe Storm,2,1,1
01071,Fire,0,1,1
01071,Hurricane,2,1,1
01071,Winter Storm,0,1,1
01071,Flood,0,1,1
01071,Tornado,0,1,1
01071,Tropical Storm,0,1,1
01071,Snowstorm,0,1,1
01071,Coastal Storm,0,1,1
01071,Severe Ice Storm,0,1,1
01073,Severe Storm,2,1,2
01073,Fire,0,1,2
01073,Hurricane,2,1,2
01073,Winter Storm,0,1,2
01073,Flood,0,1,2
01073,Tornado,0,1,2
01073,Tropical Storm,0,1,2
01073,Snowstorm,0,1,2
01073,Coastal Storm,0,1,2
01073,Severe Ice Storm,0,1,2
01075,Severe Storm,2,0,0
01075,Fire,0,0,0
01075,Hurricane,2,0,0
01075,Winter Storm,0,0,0
01075,Flood,0,0,0
01075,Tornado,0,0,0
01075,Tropical Storm,0,0,0
01075,Snowstorm,0,0,0
01075,Coastal Storm,0,0,0
01075,Severe Ice Storm,0,0,0
01077,Severe Storm,1,0,0
01077,Fire,0,0,0
01077,Hurricane,2,0,0
01077,Winter Storm,0,0,0
01077,Flood,0,0,0
01077,Tornado,0,0,0
01077,Tropical Storm,0,0,0
01077,Snowstorm,0,0,0
01077,Coastal Storm,0,0,0
01077,Severe Ice Storm,0,0,0
01079,Severe Storm,0,0,0
01079,Fire,0,0,0
01079,Hurricane,2,0,0
01079,Winter Storm,0,0,0
01079,Flood,0,0,0
01079,Tornado,0,0,0
01079,Tropical Storm,0,0,0
01079,Snowstorm,0,0,0
01079,Coastal Storm,0,0,0
01079,Severe Ice Storm,0,0,0
01081,Severe Storm,0,0,0
01081,Fire,0,0,0
01081,Hurricane,2,0,0
01081,Winter Storm,0,0,0
01081,Flood,0,0,0
01081,Tornado,1,0,0
01081,Tropical Storm,0,0,0
01081,Snowstorm,0,0,0
01081,Coastal Storm,0,0,0
01081,Severe Ice Storm,0,0,0
01083,Severe Storm,1,0,0
01083,Fire,0,0,0
01083,Hurricane,2,0,0
01083,Winter Storm,0,0,0
01083,Flood,0,0,0
01083,Tornado,0,0,0
01083,Tropical Storm,0,0,0
01083,Snowstorm,0,0,0
01083,Coastal Storm,0,0,0
01083,Severe Ice Storm,0,0,0
01085,Severe Storm,0,0,0
01085,Fire,0,0,0
01085,Hurricane,3,0,0
01085,Winter Storm,0,0,0
01085,Flood,0,0,0
01085,Tornado,0,0,0
01085,Tropical Storm,0,0,0
01085,Snowstorm,0,0,0
01085,Coastal Storm,0,0,0
01085,Severe Ice Storm,0,0,0
01087,Severe Storm,2,0,0
01087,Fire,0,0,0
01087,Hurricane,2,0,0
01087,Winter Storm,0,0,0
01087,Flood,0,0,0
01087,Tornado,0,0,0
01087,Tropical Storm,0,0,0
01087,Snowstorm,0,0,0
01087,Coastal Storm,0,0,0
